"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"U.S. Department of State","Agency Overall","2023","21619","272"
"Occupational Safety and Health Review Commission","Agency Overall","2020","2","0"
"Office of the United States Trade Representative","Agency Overall","2016","23","0"
"Administrative Conference of the United States","Agency Overall","2017","0","0"
"Department of Energy","Agency Overall","2019","493","11"
"National Commission on Military, National, and Public Service","Agency Overall","2019","5","0"
"Office of the Director of National Intelligence","Agency Overall","2024","747","13"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","0","0"
"Department of the Interior","Agency Overall","2017","1626","409"
"Federal Election Commission","Agency Overall","2023","1","0"
"Department of Commerce","Agency Overall","2018","572","82"
"Federal Housing Finance Agency","Agency Overall","2015","12","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2021","111","67"
"U.S. Election Assistance Commission","Agency Overall","2017","15","0"
"Armed Forces Retirement Home","Agency Overall","2017","0","0"
"United States Institute of Peace","Agency Overall","2018","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","2","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","21","1"
"Millennium Challenge Corporation","Agency Overall","2021","1","0"
"National Capital Planning Commission","Agency Overall","2016","0","0"
"Appraisal Subcommittee","Agency Overall","2017","0","0"
"Office of Personnel Management","Agency Overall","2016","129","54"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","9","0"
"United States Access Board","Agency Overall","2019","8","0"
"United States Trade and Development Agency","Agency Overall","2019","28","0"
"Federal Trade Commission","Agency Overall","2024","38","0"
"Office of Special Counsel","Agency Overall","2017","205","1"
"Department of Commerce","Agency Overall","2024","1410","252"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","23","1"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","0"
"Federal Open Market Committee","Agency Overall","2019","0","0"
"Office of the Director of National Intelligence","Agency Overall","2020","696","4"
"Federal Communications Commission","Agency Overall","2020","21","10"
"United States Access Board","Agency Overall","2015","0","0"
"Department of Defense","Agency Overall","2016","9235","1016"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","4","0"
"National Labor Relations Board","Agency Overall","2015","266","1"
"Office of Management and Budget","Agency Overall","2015","42","5"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","1","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","0"
"Administrative Conference of the United States","Agency Overall","2015","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","0"
"United States Copyright Office","Agency Overall","2017","5","0"
"United States Trade and Development Agency","Agency Overall","2023","14","0"
"Department of Justice","Agency Overall","2021","49959","378"
"Office of the Director of National Intelligence","Agency Overall","2021","493","10"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","0","0"
"Federal Trade Commission","Agency Overall","2022","23","0"
"Nuclear Regulatory Commission","Agency Overall","2018","122","20"
"Overseas Private Investment Corporation","Agency Overall","2018","9","0"
"National Labor Relations Board","Agency Overall","2017","295","1"
"Department of Labor","Agency Overall","2022","1426","286"
"Selective Service System","Agency Overall","2018","0","0"
"Postal Regulatory Commission","Agency Overall","2016","0","0"
"Department of Homeland Security","Agency Overall","2019","31454","304"
"Federal Communications Commission","Agency Overall","2022","33","10"
"U.S. Commission on Civil Rights","Agency Overall","2015","0","0"
"Department of Health and Human Services","Agency Overall","2017","4545","351"
"United States Institute of Peace","Agency Overall","2017","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","0"
"Office of National Drug Control Policy","Agency Overall","2016","2","0"
"Nuclear Regulatory Commission","Agency Overall","2022","89","1"
"Merit Systems Protection Board","Agency Overall","2023","96","2"
"Federal Mediation and Conciliation Service","Agency Overall","2019","0","0"
"Department of Commerce","Agency Overall","2020","629","79"
"Selective Service System","Agency Overall","2021","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","2","0"
"Department of Housing and Urban Development","Agency Overall","2017","527","5"
"Federal Open Market Committee","Agency Overall","2021","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","3","0"
"United States International Trade Commission","Agency Overall","2022","14","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0"
"Office of National Drug Control Policy","Agency Overall","2020","25","0"
"Commodity Futures Trading Commission","Agency Overall","2017","15","0"
"National Credit Union Administration","Agency Overall","2016","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2018","41","0"
"Department of Housing and Urban Development","Agency Overall","2024","721","0"
"Department of Commerce","Agency Overall","2019","721","85"
"Institute of Museum and Library Services","Agency Overall","2022","0","0"
"Inter-American Foundation","Agency Overall","2019","2","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0"
"Overseas Private Investment Corporation","Agency Overall","2017","4","0"
"General Services Administration","Agency Overall","2021","392","12"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2016","1","0"
"National Endowment for the Arts","Agency Overall","2021","0","0"
"National Credit Union Administration","Agency Overall","2020","1","0"
"United States International Trade Commission","Agency Overall","2017","0","0"
"National Mediation Board","Agency Overall","2015","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0"
"United States Access Board","Agency Overall","2024","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","26","0"
"Department of the Treasury","Agency Overall","2024","2791","47"
"Federal Election Commission","Agency Overall","2015","37","4"
"United States Copyright Office","Agency Overall","2020","3","0"
"National Endowment for the Humanities","Agency Overall","2017","0","0"
"Legal Services Corporation","Agency Overall","2023","1","0"
"Presidio Trust","Agency Overall","2019","0","0"
"United States Access Board","Agency Overall","2016","0","0"
"Federal Labor Relations Authority","Agency Overall","2021","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0"
"U.S. Department of State","Agency Overall","2021","14941","358"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","73","1"
"National Endowment for the Humanities","Agency Overall","2019","0","0"
"Department of Homeland Security","Agency Overall","2024","141420","1508"
"National Labor Relations Board","Agency Overall","2022","18","0"
"Denali Commission","Agency Overall","2022","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","25","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","18","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","8","0"
"United States International Trade Commission","Agency Overall","2024","102","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","24","0"
"Federal Reserve System","Agency Overall","2022","15","3"
"Inter-American Foundation","Agency Overall","2022","0","0"
"Merit Systems Protection Board","Agency Overall","2017","70","0"
"National Aeronautics and Space Administration","Agency Overall","2021","28","8"
"National Endowment for the Humanities","Agency Overall","2015","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2019","179","0"
"United States Postal Service","Agency Overall","2023","136","0"
"National Endowment for the Humanities","Agency Overall","2016","0","0"
"United States Trade and Development Agency","Agency Overall","2020","45","0"
"Department of Housing and Urban Development","Agency Overall","2016","328","12"
"Department of Defense","Agency Overall","2017","10383","890"
"United States International Boundary and Water Commission","Agency Overall","2016","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2015","2","0"
"U.S. Agency for Global Media","Agency Overall","2016","12","0"
"Denali Commission","Agency Overall","2021","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","0","0"
"Environmental Protection Agency","Agency Overall","2024","1564","0"
"Federal Reserve System","Agency Overall","2015","14","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2019","7","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","70","0"
"U.S. Election Assistance Commission","Agency Overall","2021","3","0"
"National Transportation Safety Board","Agency Overall","2022","166","0"
"United States International Boundary and Water Commission","Agency Overall","2018","7","0"
"National Science Foundation","Agency Overall","2016","211","0"
"Federal Energy Regulatory Commission","Agency Overall","2017","17","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","9","0"
"Marine Mammal Commission","Agency Overall","2024","6","0"
"U.S. International Development Finance Corporation","Agency Overall","2020","48","0"
"Department of Agriculture","Agency Overall","2016","1493","521"
"Federal Financial Institutions Examination Council","Agency Overall","2022","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2021","1","0"
"Department of Labor","Agency Overall","2024","2094","286"
"Federal Reserve System","Agency Overall","2019","14","2"
"American Battle Monuments Commission","Agency Overall","2016","0","0"
"Securities and Exchange Commission","Agency Overall","2019","184","4"
"Department of Agriculture","Agency Overall","2017","2371","583"
"Appraisal Subcommittee","Agency Overall","2019","0","0"
"Office of the United States Trade Representative","Agency Overall","2019","2","0"
"Social Security Administration","Agency Overall","2021","88","22"
"Central Intelligence Agency","Agency Overall","2021","2652","418"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","41","0"
"United States Postal Service","Agency Overall","2024","201","0"
"Occupational Safety and Health Review Commission","Agency Overall","2024","13","0"
"United States International Boundary and Water Commission","Agency Overall","2019","17","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0"
"Tennessee Valley Authority","Agency Overall","2024","34","0"
"Social Security Administration","Agency Overall","2017","169","8"
"National Archives and Records Administration","Agency Overall","2022","9969","155"
"Selective Service System","Agency Overall","2022","0","0"
"Department of Justice","Agency Overall","2018","17411","161"
"Department of Agriculture","Agency Overall","2015","1148","392"
"United States Postal Service","Agency Overall","2020","90","1"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","0"
"Legal Services Corporation","Agency Overall","2016","0","0"
"Office of Special Counsel","Agency Overall","2015","222","7"
"Federal Trade Commission","Agency Overall","2019","3","0"
"Small Business Administration","Agency Overall","2020","366","16"
"United States Postal Service","Agency Overall","2021","148","0"
"Farm Credit Administration","Agency Overall","2024","3","0"
"National Credit Union Administration","Agency Overall","2023","0","0"
"National Science Foundation","Agency Overall","2019","301","0"
"National Labor Relations Board","Agency Overall","2021","7","0"
"Appraisal Subcommittee","Agency Overall","2020","0","0"
"United States Copyright Office","Agency Overall","2022","4","0"
"United States Access Board","Agency Overall","2018","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","12","0"
"U.S. International Development Finance Corporation","Agency Overall","2021","73","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0"
"Surface Transportation Board","Agency Overall","2020","0","0"
"Presidio Trust","Agency Overall","2016","0","0"
"Office of Management and Budget","Agency Overall","2018","510","11"
"U.S. Agency for International Development","Agency Overall","2015","301","6"
"Department of Labor","Agency Overall","2016","685","422"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","6"
"Department of Labor","Agency Overall","2015","593","405"
"Overseas Private Investment Corporation","Agency Overall","2019","7","0"
"National Railroad Passenger Corporation","Agency Overall","2024","4","8"
"National Council on Disability","Agency Overall","2023","2","0"
"Farm Credit Administration","Agency Overall","2021","0","0"
"United States International Boundary and Water Commission","Agency Overall","2015","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","10","0"
"Social Security Administration","Agency Overall","2020","1710","5"
"Federal Reserve System","Agency Overall","2017","34","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","0","0"
"Department of Transportation","Agency Overall","2022","5362","222"
"Office of the Director of National Intelligence","Agency Overall","2022","551","22"
"Department of the Treasury","Agency Overall","2015","767","101"
"Federal Labor Relations Authority","Agency Overall","2016","0","0"
"Council on Environmental Quality","Agency Overall","2023","27","0"
"Commission of Fine Arts","Agency Overall","2017","0","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","0"
"Department of Veterans Affairs","Agency Overall","2021","2166","118"
"Surface Transportation Board","Agency Overall","2023","0","0"
"Marine Mammal Commission","Agency Overall","2020","2","0"
"Central Intelligence Agency","Agency Overall","2018","2009","158"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","0"
"Social Security Advisory Board","Agency Overall","2023","2","0"
"Selective Service System","Agency Overall","2023","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","0"
"American Battle Monuments Commission","Agency Overall","2023","0","0"
"Social Security Advisory Board","Agency Overall","2022","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","1","0"
"Office of Personnel Management","Agency Overall","2024","212","10"
"United States Institute of Peace","Agency Overall","2023","7","0"
"United States International Boundary and Water Commission","Agency Overall","2023","54","0"
"Federal Open Market Committee","Agency Overall","2016","1","0"
"United States International Trade Commission","Agency Overall","2021","1","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","72","0"
"United States Copyright Office","Agency Overall","2023","6","0"
"Office of Management and Budget","Agency Overall","2016","60","4"
"Overseas Private Investment Corporation","Agency Overall","2015","5","0"
"Export-Import Bank of the U.S.","Agency Overall","2017","43","0"
"National Endowment for the Arts","Agency Overall","2015","1","0"
"National Capital Planning Commission","Agency Overall","2022","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","0","0"
"Council on Environmental Quality","Agency Overall","2017","39","0"
"National Endowment for the Humanities","Agency Overall","2024","8","1"
"United States African Development Foundation","Agency Overall","2019","0","0"
"National Aeronautics and Space Administration","Agency Overall","2016","8","3"
"National Capital Planning Commission","Agency Overall","2021","0","0"
"Federal Labor Relations Authority","Agency Overall","2019","3","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2019","205","1"
"American Battle Monuments Commission","Agency Overall","2017","2","0"
"Consumer Financial Protection Bureau","Agency Overall","2016","2","0"
"Institute of Museum and Library Services","Agency Overall","2016","1","0"
"Department of Agriculture","Agency Overall","2022","1991","143"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","1","0"
"Advisory Council on Historic Preservation","Agency Overall","2018","3","0"
"Department of Housing and Urban Development","Agency Overall","2022","626","8"
"Surface Transportation Board","Agency Overall","2017","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2023","0","0"
"National Council on Disability","Agency Overall","2018","0","0"
"Postal Regulatory Commission","Agency Overall","2018","0","0"
"Office of Science and Technology Policy","Agency Overall","2016","17","0"
"National Mediation Board","Agency Overall","2020","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","0"
"Office of Government Ethics","Agency Overall","2021","10","0"
"Department of Energy","Agency Overall","2022","774","12"
"Council on Environmental Quality","Agency Overall","2015","56","0"
"Office of Government Ethics","Agency Overall","2016","0","0"
"National Transportation Safety Board","Agency Overall","2020","109","0"
"Department of Health and Human Services","Agency Overall","2022","11320","581"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","3","0"
"Export-Import Bank of the U.S.","Agency Overall","2016","33","0"
"National Railroad Passenger Corporation","Agency Overall","2021","170","12"
"Appraisal Subcommittee","Agency Overall","2021","0","0"
"Office of Government Ethics","Agency Overall","2020","32","0"
"National Labor Relations Board","Agency Overall","2023","6","0"
"Legal Services Corporation","Agency Overall","2024","17","0"
"Inter-American Foundation","Agency Overall","2024","9","0"
"Office of Management and Budget","Agency Overall","2020","638","10"
"Office of Personnel Management","Agency Overall","2022","128","2"
"Farm Credit Administration","Agency Overall","2020","0","0"
"Millennium Challenge Corporation","Agency Overall","2015","0","0"
"Department of Energy","Agency Overall","2021","678","12"
"Department of Health and Human Services","Agency Overall","2015","5745","437"
"Securities and Exchange Commission","Agency Overall","2015","432","7"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","2","0"
"Department of Justice","Agency Overall","2016","10644","229"
"National Science Foundation","Agency Overall","2020","342","0"
"Department of Transportation","Agency Overall","2015","1865","22"
"Federal Maritime Commission","Agency Overall","2018","2","0"
"Department of Veterans Affairs","Agency Overall","2017","2916","82"
"Federal Election Commission","Agency Overall","2024","6","0"
"National Council on Disability","Agency Overall","2022","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2021","0","0"
"Merit Systems Protection Board","Agency Overall","2020","50","2"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","6"
"Federal Financial Institutions Examination Council","Agency Overall","2016","0","0"
"National Labor Relations Board","Agency Overall","2018","87","0"
"Office of the Director of National Intelligence","Agency Overall","2017","359","31"
"Office of Personnel Management","Agency Overall","2019","229","8"
"Inter-American Foundation","Agency Overall","2021","0","0"
"United States Institute of Peace","Agency Overall","2020","4","0"
"Court Services and Offender Supervision Agency","Agency Overall","2017","52","0"
"Small Business Administration","Agency Overall","2022","469","21"
"Department of Energy","Agency Overall","2016","230","10"
"National Aeronautics and Space Administration","Agency Overall","2018","27","N/A"
"Social Security Advisory Board","Agency Overall","2020","0","0"
"National Capital Planning Commission","Agency Overall","2023","0","0"
"U.S. Department of State","Agency Overall","2016","22664","469"
"Denali Commission","Agency Overall","2024","0","0"
"Consumer Product Safety Commission","Agency Overall","2016","171","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","44","0"
"Social Security Administration","Agency Overall","2016","119","26"
"Consumer Product Safety Commission","Agency Overall","2024","251","1"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0"
"United States Access Board","Agency Overall","2017","0","0"
"Department of Veterans Affairs","Agency Overall","2018","4659","89"
"Armed Forces Retirement Home","Agency Overall","2015","0","0"
"National Council on Disability","Agency Overall","2016","0","0"
"Presidio Trust","Agency Overall","2024","0","0"
"General Services Administration","Agency Overall","2016","44","3"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","0","0"
"Council on Environmental Quality","Agency Overall","2020","55","1"
"Federal Deposit Insurance Corporation","Agency Overall","2023","123","0"
"Court Services and Offender Supervision Agency","Agency Overall","2021","0","0"
"Federal Election Commission","Agency Overall","2017","60","4"
"Administrative Conference of the United States","Agency Overall","2016","0","0"
"Postal Regulatory Commission","Agency Overall","2024","7","0"
"U.S. Department of State","Agency Overall","2024","21615","126"
"Institute of Museum and Library Services","Agency Overall","2019","5","0"
"Armed Forces Retirement Home","Agency Overall","2022","1","0"
"Administrative Conference of the United States","Agency Overall","2020","0","0"
"Federal Housing Finance Agency","Agency Overall","2021","19","0"
"Farm Credit System Insurance Corporation","Agency Overall","2016","0","0"
"Office of Science and Technology Policy","Agency Overall","2020","102","0"
"Commission of Fine Arts","Agency Overall","2018","0","0"
"Office of the United States Trade Representative","Agency Overall","2022","1","0"
"Farm Credit Administration","Agency Overall","2016","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2015","21","0"
"Federal Housing Finance Agency","Agency Overall","2024","98","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","8","0"
"United States Institute of Peace","Agency Overall","2019","0","0"
"U.S. Election Assistance Commission","Agency Overall","2016","3","0"
"National Indian Gaming Commission","Agency Overall","2019","2","0"
"U.S. Election Assistance Commission","Agency Overall","2020","10","0"
"Millennium Challenge Corporation","Agency Overall","2020","1","0"
"Small Business Administration","Agency Overall","2024","413","0"
"Federal Election Commission","Agency Overall","2019","51","1"
"Commission of Fine Arts","Agency Overall","2019","0","0"
"United States International Trade Commission","Agency Overall","2023","17","0"
"American Battle Monuments Commission","Agency Overall","2020","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2023","506","9"
"Consumer Product Safety Commission","Agency Overall","2022","441","0"
"Federal Election Commission","Agency Overall","2020","12","2"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","21","1"
"U.S. Railroad Retirement Board","Agency Overall","2017","8","0"
"Department of Health and Human Services","Agency Overall","2020","8817","694"
"American Battle Monuments Commission","Agency Overall","2015","0","0"
"Central Intelligence Agency","Agency Overall","2020","2736","315"
"Department of Energy","Agency Overall","2018","498","8"
"National Transportation Safety Board","Agency Overall","2015","679","4"
"Department of Defense","Agency Overall","2022","18567","862"
"United States International Trade Commission","Agency Overall","2015","0","0"
"Federal Election Commission","Agency Overall","2022","4","0"
"Office of the United States Trade Representative","Agency Overall","2015","15","0"
"Equal Employment Opportunity Commission","Agency Overall","2022","53","29"
"Selective Service System","Agency Overall","2020","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","8","0"
"Office of the Director of National Intelligence","Agency Overall","2016","289","16"
"Surface Transportation Board","Agency Overall","2015","0","0"
"Federal Open Market Committee","Agency Overall","2022","0","0"
"National Railroad Passenger Corporation","Agency Overall","2019","83","7"
"Department of Transportation","Agency Overall","2023","5913","229"
"Department of Justice","Agency Overall","2023","43927","240"
"Environmental Protection Agency","Agency Overall","2018","2761","132"
"Office of Science and Technology Policy","Agency Overall","2019","86","2"
"Office of Government Ethics","Agency Overall","2024","27","0"
"Office of Personnel Management","Agency Overall","2021","190","1"
"Postal Regulatory Commission","Agency Overall","2021","1","0"
"National Endowment for the Humanities","Agency Overall","2018","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","12","0"
"Department of Transportation","Agency Overall","2021","4811","161"
"Presidio Trust","Agency Overall","2021","2","0"
"National Credit Union Administration","Agency Overall","2015","0","0"
"National Aeronautics and Space Administration","Agency Overall","2023","32","7"
"Environmental Protection Agency","Agency Overall","2022","1537","0"
"National Endowment for the Arts","Agency Overall","2016","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","0","0"
"National Transportation Safety Board","Agency Overall","2024","226","0"
"National Archives and Records Administration","Agency Overall","2015","8325","105"
"Environmental Protection Agency","Agency Overall","2021","1500","0"
"United States African Development Foundation","Agency Overall","2023","0","0"
"Department of Veterans Affairs","Agency Overall","2024","1539","352"
"United States Institute of Peace","Agency Overall","2024","67","0"
"Department of Commerce","Agency Overall","2017","304","34"
"United States International Boundary and Water Commission","Agency Overall","2017","3","0"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","0"
"Tennessee Valley Authority","Agency Overall","2016","13","0"
"Environmental Protection Agency","Agency Overall","2015","1355","174"
"Postal Regulatory Commission","Agency Overall","2015","0","0"
"National Mediation Board","Agency Overall","2021","0","0"
"Department of Labor","Agency Overall","2018","816","320"
"Denali Commission","Agency Overall","2019","0","0"
"National Mediation Board","Agency Overall","2024","0","0"
"Denali Commission","Agency Overall","2023","0","0"
"American Battle Monuments Commission","Agency Overall","2021","0","0"
"Federal Trade Commission","Agency Overall","2020","2","0"
"United States Copyright Office","Agency Overall","2019","8","1"
"Federal Labor Relations Authority","Agency Overall","2018","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","0","0"
"Department of Justice","Agency Overall","2017","12863","172"
"United States African Development Foundation","Agency Overall","2020","1","0"
"National Transportation Safety Board","Agency Overall","2021","114","0"
"United States Trade and Development Agency","Agency Overall","2015","21","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2022","2","0"
"Federal Deposit Insurance Corporation","Agency Overall","2021","24","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","12","0"
"National Transportation Safety Board","Agency Overall","2019","418","0"
"Federal Energy Regulatory Commission","Agency Overall","2016","9","0"
"National Science Foundation","Agency Overall","2018","248","0"
"Federal Communications Commission","Agency Overall","2021","21","7"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","127","0"
"Postal Regulatory Commission","Agency Overall","2023","7","0"
"National Indian Gaming Commission","Agency Overall","2017","15","0"
"Federal Energy Regulatory Commission","Agency Overall","2018","31","1"
"Millennium Challenge Corporation","Agency Overall","2016","0","0"
"Department of Energy","Agency Overall","2020","554","13"
"Department of Housing and Urban Development","Agency Overall","2020","1128","0"
"Peace Corps","Agency Overall","2015","130","0"
"National Archives and Records Administration","Agency Overall","2024","5107","254"
"Office of the United States Trade Representative","Agency Overall","2017","5","0"
"Small Business Administration","Agency Overall","2016","21","0"
"National Mediation Board","Agency Overall","2023","0","0"
"U.S. Agency for International Development","Agency Overall","2023","401","11"
"Federal Trade Commission","Agency Overall","2018","6","0"
"Federal Reserve System","Agency Overall","2016","43","3"
"Selective Service System","Agency Overall","2019","0","0"
"Small Business Administration","Agency Overall","2021","2144","8"
"Administrative Conference of the United States","Agency Overall","2022","0","0"
"Department of Education","Agency Overall","2024","2485","21"
"Office of Government Ethics","Agency Overall","2019","28","0"
"National Endowment for the Arts","Agency Overall","2024","0","0"
"Department of Commerce","Agency Overall","2021","773","143"
"Department of Health and Human Services","Agency Overall","2023","11256","640"
"Commodity Futures Trading Commission","Agency Overall","2022","3","0"
"National Council on Disability","Agency Overall","2024","25","0"
"General Services Administration","Agency Overall","2015","49","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","1","0"
"National Council on Disability","Agency Overall","2017","0","0"
"U.S. Agency for International Development","Agency Overall","2020","372","1"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","0"
"Presidio Trust","Agency Overall","2017","0","0"
"National Aeronautics and Space Administration","Agency Overall","2024","39","8"
"Export-Import Bank of the U.S.","Agency Overall","2024","37","5"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","89","0"
"Office of National Drug Control Policy","Agency Overall","2021","15","0"
"Department of Education","Agency Overall","2015","265","69"
"Marine Mammal Commission","Agency Overall","2018","1","0"
"Federal Labor Relations Authority","Agency Overall","2015","0","0"
"Office of Special Counsel","Agency Overall","2018","112","0"
"Postal Regulatory Commission","Agency Overall","2022","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","54","0"
"United States Postal Service","Agency Overall","2018","62","5"
"Department of Homeland Security","Agency Overall","2017","44117","172"
"Equal Employment Opportunity Commission","Agency Overall","2018","2092","6"
"Department of Veterans Affairs","Agency Overall","2020","3220","66"
"United States Access Board","Agency Overall","2022","0","0"
"United States Institute of Peace","Agency Overall","2016","0","0"
"U.S. Department of State","Agency Overall","2020","13798","254"
"National Labor Relations Board","Agency Overall","2016","121","N/A"
"Department of Education","Agency Overall","2022","1557","34"
"Federal Housing Finance Agency","Agency Overall","2017","16","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2020","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2019","31","0"
"Department of the Treasury","Agency Overall","2016","893","65"
"Farm Credit System Insurance Corporation","Agency Overall","2024","1","0"
"Consumer Financial Protection Bureau","Agency Overall","2021","16","0"
"United States International Boundary and Water Commission","Agency Overall","2024","110","0"
"Peace Corps","Agency Overall","2021","64","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","3","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","1","0"
"Armed Forces Retirement Home","Agency Overall","2019","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","28","0"
"Peace Corps","Agency Overall","2016","86","0"
"National Railroad Passenger Corporation","Agency Overall","2016","76","10"
"National Mediation Board","Agency Overall","2022","0","0"
"Office of Management and Budget","Agency Overall","2024","909","4"
"Department of the Interior","Agency Overall","2018","3191","366"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","0","0"
"National Science Foundation","Agency Overall","2021","383","0"
